* T-Spice 13.00 Simulation	Sun May 05 15:00:56 2019	C:\Users\makif\Google Drive\TEZ ÇALIÞMAM\çizim\Counter_TDC\Counter_TDC\counter_TDC3.sp
* Command line: tspice -o "C:\Users\makif\Google Drive\TEZ ÇALIÞMAM\çizim\Counter_TDC\Counter_TDC\counter_TDC3.out" "C:\Users\makif\Google Drive\TEZ ÇALIÞMAM\çizim\Counter_TDC\Counter_TDC\counter_TDC3.sp" 
* T-Spice Win32 13.00.20080321.01:01:33

*SEDIT: Alter blocks = 0

* Accuracy and Convergence options:
* numndset|dchold = 100
* 
* Timestep and Integration options:
*  relq|relchgtol = 0.0005
* 
* Model Evaluation options:
*            dcap = 2                    defnrb = 0 [sq]               defnrd = 0 [sq]
*          defnrs = 0 [sq]                 tnom = 25 [deg C]
* 
* General options:
*            temp = 25 [deg C]          threads = 8
* 
* Output options:
*           acout = 1                    ingold = 0
* 


*  Device and node counts:
*             MOSFETs - 14                MOSFET geometries - 8       
*                BJTs - 0                             JFETs - 0       
*             MESFETs - 0                            Diodes - 0       
*          Capacitors - 0                         Resistors - 0       
*           Inductors - 0                  Mutual inductors - 0       
*  Transmission lines - 0        Coupled transmission lines - 0       
*     Voltage sources - 4                   Current sources - 0       
*                VCVS - 0                              VCCS - 0       
*                CCVS - 0                              CCCS - 0       
*    V-control switch - 0                  I-control switch - 0       
*       Macro devices - 0        External C model instances - 0       
*         HDL devices - 0       
*         Subcircuits - 0              Subcircuit instances - 4       
*   Independent nodes - 63                   Boundary nodes - 5       
*         Total nodes - 68      


*SEDIT: Alter=0
*SEDIT: Analysis types DCOP 0 ACMODEL 0 AC 0 TRANSIENT 1 TRANSFER 0 NOISE 0 

*WEDIT: .tran   1e-011   1e-008
TRANSIENT ANALYSIS
Time<s>        v(Stop,Gnd)<V>  v(Start,Gnd)<V>  v(Out,Gnd)<V>  v(Clock,Gnd)<V>  v(Time,Gnd)<V>
 1.716949e-009  0.0000e+000  0.0000e+000  1.6526e-004  0.0000e+000  3.0753e-004
 1.736949e-009  0.0000e+000  0.0000e+000  1.6042e-004  0.0000e+000  3.0531e-004
 1.756949e-009  0.0000e+000  0.0000e+000  1.5726e-004  0.0000e+000  3.0617e-004
 1.776949e-009  0.0000e+000  0.0000e+000  1.5544e-004  0.0000e+000  3.0563e-004
 1.796949e-009  0.0000e+000  0.0000e+000  1.5444e-004  0.0000e+000  3.0584e-004
 1.799999e-009  0.0000e+000  0.0000e+000  1.5434e-004  0.0000e+000  3.0579e-004
 1.801000e-009  0.0000e+000  0.0000e+000  2.2702e-004  1.0000e+000  3.4886e-004
 1.801449e-009  0.0000e+000  0.0000e+000  2.0793e-004  1.0000e+000  3.3483e-004
 1.805949e-009  0.0000e+000  0.0000e+000  1.9231e-004  1.0000e+000  3.1708e-004
 1.825949e-009  0.0000e+000  0.0000e+000  1.4651e-004  1.0000e+000  2.9729e-004
 1.845949e-009  0.0000e+000  0.0000e+000  1.3737e-004  1.0000e+000  3.0792e-004
 1.865949e-009  0.0000e+000  0.0000e+000  1.3871e-004  1.0000e+000  3.0332e-004
 1.885949e-009  0.0000e+000  0.0000e+000  1.4229e-004  1.0000e+000  3.0604e-004
 1.905949e-009  0.0000e+000  0.0000e+000  1.4570e-004  1.0000e+000  3.0494e-004
 1.925949e-009  0.0000e+000  0.0000e+000  1.4843e-004  1.0000e+000  3.0586e-004
 1.945949e-009  0.0000e+000  0.0000e+000  1.5044e-004  1.0000e+000  3.0560e-004
 1.950999e-009  0.0000e+000  0.0000e+000  1.5085e-004  1.0000e+000  3.0571e-004
 1.951999e-009  0.0000e+000  0.0000e+000  8.0976e-005  1.0347e-013  2.7345e-004
 1.952449e-009  0.0000e+000  0.0000e+000  1.0003e-004  0.0000e+000  2.8406e-004
 1.956949e-009  0.0000e+000  0.0000e+000  1.1814e-004  0.0000e+000  2.9813e-004
 1.976949e-009  0.0000e+000  0.0000e+000  1.6637e-004  0.0000e+000  3.1303e-004
 1.996949e-009  0.0000e+000  0.0000e+000  1.6994e-004  0.0000e+000  3.0395e-004
 2.016949e-009  0.0000e+000  0.0000e+000  1.6497e-004  0.0000e+000  3.0753e-004
 2.036949e-009  0.0000e+000  0.0000e+000  1.6026e-004  0.0000e+000  3.0532e-004
 2.056949e-009  0.0000e+000  0.0000e+000  1.5718e-004  0.0000e+000  3.0618e-004
 2.076949e-009  0.0000e+000  0.0000e+000  1.5539e-004  0.0000e+000  3.0564e-004
 2.096949e-009  0.0000e+000  0.0000e+000  1.5442e-004  0.0000e+000  3.0585e-004
 2.099999e-009  0.0000e+000  0.0000e+000  1.5432e-004  0.0000e+000  3.0580e-004
 2.102499e-009  0.0000e+000  0.0000e+000  2.1108e-004  1.0000e+000  3.3399e-004
 2.103624e-009  0.0000e+000  0.0000e+000  1.9999e-004  1.0000e+000  3.2350e-004
 2.114874e-009  0.0000e+000  0.0000e+000  1.6526e-004  1.0000e+000  2.9874e-004
 2.134874e-009  0.0000e+000  0.0000e+000  1.4040e-004  1.0000e+000  3.0677e-004
 2.154874e-009  0.0000e+000  0.0000e+000  1.3772e-004  1.0000e+000  3.0361e-004
 2.174874e-009  0.0000e+000  0.0000e+000  1.4009e-004  1.0000e+000  3.0566e-004
 2.194874e-009  0.0000e+000  0.0000e+000  1.4396e-004  1.0000e+000  3.0507e-004
 2.214874e-009  0.0000e+000  0.0000e+000  1.4667e-004  1.0000e+000  3.0554e-004
